temp,rain,wind_speed,wind_degree,wind_direction
3.4,0,0.1,169.9,S
5,0,1,128.8,SE
5.3,0,0.8,193.5,SSW
5.9,0,1.1,258.3,WSW
6.8,0,2.1,249.2,WSW
8.1,0,1.8,269.3,W
8.3,0,1.4,185.2,S
8.6,0,1.1,213.9,SW
7.6,0,1.5,252.8,WSW
7,0,1.6,251.7,WSW
6.8,0,2.3,239.5,WSW
6.2,0,1.8,262.8,W
5.8,0,2.9,257.9,WSW
5.2,0,3.7,260.1,W
4.2,0,2.5,285.4,WNW
2.9,0,6.1,341.2,NNW
2,0,5.9,340.8,NNW
1.3,0,3.3,359.4,N
